TXN DATE,TRANSACTION ID,CUSTOMER ID,POLICY NUMBER,POLICY EFF DT,LOSS DT,REPORT DT,INSURANCE TYPE,PREMIUM AMOUNT,CLAIM AMOUNT,CUSTOMER NAME,CITY,STATE,POSTAL CODE,MARITAL STATUS,AGE,TENURE,EMPLOYMENT STATUS,NO OF FAMILY MEMBERS,RISK SEGMENTATION,HOUSE TYPE,SOCIAL CLASS,CUSTOMER EDUCATION LEVEL,CLAIM STATUS,INCIDENT SEVERITY,AUTHORITY CONTACTED,ANY INJURY,POLICE REPORT AVAILABLE,INCIDENT STATE,INCIDENT CITY,INCIDENT HOUR OF THE DAY,AGENT ID,VENDOR ID
01-06-2020,TXN00000001,A00003822,PLC00008468,23-06-2015,16-05-2020,21-05-2020,Health,157.13,9000,Christopher Demarest,Glendale,AZ,85308,Married,54,89,Employed,3,Low,Own,Lower Income,Bachelor,Approved,Major Loss,Police,No,Yes,GA,Savannah,4,AGENT00413,VNDR00556
01-06-2020,TXN00000002,A00008149,PLC00009594,21-04-2018,13-05-2020,18-05-2020,Property,141.71,26000,Ricardo Gatlin,Arvada,CO,80005,Single,61,80,Employed,4,Low,Rent,Medium Income,Bachelor,Approved,Total Loss,Ambulance,Yes,No,AL,Montgomery,0,AGENT00769,VNDR00592
01-06-2020,TXN00000003,A00003172,PLC00007969,03-10-2019,21-05-2020,26-05-2020,Property,157.24,13000,Lashawn Engles,Vallejo,CA,94591,Single,47,68,Employed,6,Low,Rent,Medium Income,PhD,Approved,Total Loss,Police,No,Yes,CO,Grand Junction,19,AGENT00883,VNDR00031
01-06-2020,TXN00000004,A00007572,PLC00009292,29-11-2016,14-05-2020,19-05-2020,Health,172.87,16000,Steven Bassett,Thunderbolt,GA,31404,Married,36,16,Employed,7,Low,Mortgage,Medium Income,Masters,Approved,Minor Loss,Ambulance,No,No,GA,Savannah,12,AGENT00278,VNDR00075
01-06-2020,TXN00000005,A00008173,PLC00000204,26-12-2011,17-05-2020,22-05-2020,Travel,88.53,3000,Jason Rodriguez,Livermore,CA,94550,Married,51,16,Employed,2,Medium,Rent,Higher Income,Masters,Approved,Major Loss,Police,No,Yes,TN,Nashville,18,AGENT00636,VNDR00472
01-06-2020,TXN00000006,A00003571,PLC00007244,28-12-2012,20-05-2020,25-05-2020,Life,87.02,63000,Terrance Han,Glendale,AZ,85301,Single,42,38,Employed,2,Medium,Rent,Medium Income,College,Approved,Major Loss,Ambulance,No,Yes,AZ,Glendale,0,AGENT00402,No Vendor
01-06-2020,TXN00000007,A00007245,PLC00002796,26-10-2012,13-05-2020,18-05-2020,Health,197.23,3000,Dennis Johnson,Panama City,FL,32404,Married,61,20,Employed,7,Low,Rent,Medium Income,Unknown,Approved,Major Loss,Police,Yes,Yes,CT,Manchester,10,AGENT00322,VNDR00150
01-06-2020,TXN00000008,A00004301,PLC00002925,30-12-2018,14-05-2020,19-05-2020,Motor,83.77,8000,Maryalice Martinez,Savannah,GA,31406,Married,35,97,Employed,3,Low,Rent,Medium Income,High School,Approved,Total Loss,Police,No,Yes,FL,Panama City Beach,10,AGENT00152,VNDR00326
01-06-2020,TXN00000009,A00004671,PLC00006886,27-06-2019,21-05-2020,26-05-2020,Motor,82.14,5000,Nicholas Hamilton,Louisville,KY,40202,Single,27,118,Employed,4,High,Mortgage,Medium Income,Bachelor,Approved,Major Loss,Police,No,Yes,AZ,Glendale,22,AGENT00450,VNDR00437
01-06-2020,TXN00000010,A00002020,PLC00007657,19-12-2015,15-05-2020,20-05-2020,Travel,71.29,4000,Nicholas Honokaupu,Montgomery,AL,36117,Married,61,119,Employed,4,Low,Rent,Higher Income,PhD,Approved,Major Loss,None,No,No,CA,San Leandro,4,AGENT00682,No Vendor
01-06-2020,TXN00000011,A00007952,PLC00003007,30-03-2019,20-05-2020,25-05-2020,Life,61.45,92000,Janet Watts,Manchester,CT,6040,Single,59,14,Employed,7,Medium,Mortgage,Medium Income,Masters,Approved,Major Loss,Ambulance,Yes,Yes,MD,Crofton,23,AGENT01091,VNDR00163
